2019/01/04 00:00 UPDATE,,
,,
DATE,TIME,実績(万kW)
2018/01/01,0:00,291
2018/01/01,1:00,300
2018/01/01,2:00,315
2018/01/01,3:00,319
2018/01/01,4:00,311
2018/01/01,5:00,291
2018/01/01,6:00,268
2018/01/01,7:00,266
2018/01/01,8:00,282
2018/01/01,9:00,264
2018/01/01,10:00,254
2018/01/01,11:00,245
2018/01/01,12:00,240
2018/01/01,13:00,235
2018/01/01,14:00,233
2018/01/01,15:00,240
2018/01/01,16:00,258
2018/01/01,17:00,293
2018/01/01,18:00,306
2018/01/01,19:00,306
2018/01/01,20:00,306
2018/01/01,21:00,298
2018/01/01,22:00,285
2018/01/01,23:00,281
2018/01/02,0:00,279
2018/01/02,1:00,287
2018/01/02,2:00,304
2018/01/02,3:00,310
2018/01/02,4:00,304
2018/01/02,5:00,286
2018/01/02,6:00,271
2018/01/02,7:00,275
2018/01/02,8:00,290
2018/01/02,9:00,278
2018/01/02,10:00,265
2018/01/02,11:00,256
2018/01/02,12:00,251
2018/01/02,13:00,245
2018/01/02,14:00,242
2018/01/02,15:00,249
2018/01/02,16:00,267
2018/01/02,17:00,301
2018/01/02,18:00,315
2018/01/02,19:00,313
2018/01/02,20:00,311
2018/01/02,21:00,302
2018/01/02,22:00,285
2018/01/02,23:00,279
2018/01/03,0:00,277
2018/01/03,1:00,286
2018/01/03,2:00,300
2018/01/03,3:00,305
2018/01/03,4:00,299
2018/01/03,5:00,283
2018/01/03,6:00,265
2018/01/03,7:00,268
2018/01/03,8:00,287
2018/01/03,9:00,282
2018/01/03,10:00,276
2018/01/03,11:00,269
2018/01/03,12:00,264
2018/01/03,13:00,259
2018/01/03,14:00,258
2018/01/03,15:00,266
2018/01/03,16:00,288
2018/01/03,17:00,323
2018/01/03,18:00,338
2018/01/03,19:00,335
2018/01/03,20:00,332
2018/01/03,21:00,323
2018/01/03,22:00,303
2018/01/03,23:00,302
2018/01/04,0:00,302
2018/01/04,1:00,313
2018/01/04,2:00,329
2018/01/04,3:00,331
2018/01/04,4:00,322
2018/01/04,5:00,311
2018/01/04,6:00,319
2018/01/04,7:00,341
2018/01/04,8:00,363
2018/01/04,9:00,350
2018/01/04,10:00,338
2018/01/04,11:00,332
2018/01/04,12:00,322
2018/01/04,13:00,319
2018/01/04,14:00,312
2018/01/04,15:00,322
2018/01/04,16:00,341
2018/01/04,17:00,364
2018/01/04,18:00,376
2018/01/04,19:00,369
2018/01/04,20:00,357
2018/01/04,21:00,339
2018/01/04,22:00,311
2018/01/04,23:00,302
2018/01/05,0:00,300
2018/01/05,1:00,309
2018/01/05,2:00,325
2018/01/05,3:00,330
2018/01/05,4:00,326
2018/01/05,5:00,319
2018/01/05,6:00,329
2018/01/05,7:00,356
2018/01/05,8:00,412
2018/01/05,9:00,436
2018/01/05,10:00,433
2018/01/05,11:00,431
2018/01/05,12:00,410
2018/01/05,13:00,420
2018/01/05,14:00,408
2018/01/05,15:00,405
2018/01/05,16:00,416
2018/01/05,17:00,428
2018/01/05,18:00,433
2018/01/05,19:00,421
2018/01/05,20:00,406
2018/01/05,21:00,383
2018/01/05,22:00,355
2018/01/05,23:00,344
2018/01/06,0:00,332
2018/01/06,1:00,335
2018/01/06,2:00,347
2018/01/06,3:00,348
2018/01/06,4:00,342
2018/01/06,5:00,331
2018/01/06,6:00,329
2018/01/06,7:00,346
2018/01/06,8:00,384
2018/01/06,9:00,384
2018/01/06,10:00,368
2018/01/06,11:00,361
2018/01/06,12:00,341
2018/01/06,13:00,345
2018/01/06,14:00,342
2018/01/06,15:00,346
2018/01/06,16:00,361
2018/01/06,17:00,381
2018/01/06,18:00,389
2018/01/06,19:00,377
2018/01/06,20:00,366
2018/01/06,21:00,348
2018/01/06,22:00,324
2018/01/06,23:00,317
2018/01/07,0:00,316
2018/01/07,1:00,329
2018/01/07,2:00,349
2018/01/07,3:00,351
2018/01/07,4:00,343
2018/01/07,5:00,323
2018/01/07,6:00,310
2018/01/07,7:00,313
2018/01/07,8:00,331
2018/01/07,9:00,325
2018/01/07,10:00,317
2018/01/07,11:00,305
2018/01/07,12:00,303
2018/01/07,13:00,296
2018/01/07,14:00,288
2018/01/07,15:00,299
2018/01/07,16:00,318
2018/01/07,17:00,353
2018/01/07,18:00,363
2018/01/07,19:00,355
2018/01/07,20:00,346
2018/01/07,21:00,327
2018/01/07,22:00,304
2018/01/07,23:00,295
2018/01/08,0:00,291
2018/01/08,1:00,299
2018/01/08,2:00,318
2018/01/08,3:00,326
2018/01/08,4:00,324
2018/01/08,5:00,309
2018/01/08,6:00,297
2018/01/08,7:00,304
2018/01/08,8:00,345
2018/01/08,9:00,365
2018/01/08,10:00,370
2018/01/08,11:00,361
2018/01/08,12:00,347
2018/01/08,13:00,349
2018/01/08,14:00,344
2018/01/08,15:00,345
2018/01/08,16:00,353
2018/01/08,17:00,371
2018/01/08,18:00,372
2018/01/08,19:00,360
2018/01/08,20:00,345
2018/01/08,21:00,324
2018/01/08,22:00,297
2018/01/08,23:00,287
2018/01/09,0:00,280
2018/01/09,1:00,292
2018/01/09,2:00,315
2018/01/09,3:00,327
2018/01/09,4:00,328
2018/01/09,5:00,323
2018/01/09,6:00,335
2018/01/09,7:00,357
2018/01/09,8:00,401
2018/01/09,9:00,407
2018/01/09,10:00,403
2018/01/09,11:00,398
2018/01/09,12:00,376
2018/01/09,13:00,395
2018/01/09,14:00,394
2018/01/09,15:00,396
2018/01/09,16:00,414
2018/01/09,17:00,431
2018/01/09,18:00,439
2018/01/09,19:00,425
2018/01/09,20:00,407
2018/01/09,21:00,381
2018/01/09,22:00,350
2018/01/09,23:00,338
2018/01/10,0:00,330
2018/01/10,1:00,337
2018/01/10,2:00,353
2018/01/10,3:00,361
2018/01/10,4:00,356
2018/01/10,5:00,352
2018/01/10,6:00,372
2018/01/10,7:00,391
2018/01/10,8:00,427
2018/01/10,9:00,432
2018/01/10,10:00,420
2018/01/10,11:00,414
2018/01/10,12:00,395
2018/01/10,13:00,413
2018/01/10,14:00,411
2018/01/10,15:00,414
2018/01/10,16:00,433
2018/01/10,17:00,446
2018/01/10,18:00,452
2018/01/10,19:00,439
2018/01/10,20:00,422
2018/01/10,21:00,395
2018/01/10,22:00,367
2018/01/10,23:00,359
2018/01/11,0:00,353
2018/01/11,1:00,360
2018/01/11,2:00,374
2018/01/11,3:00,380
2018/01/11,4:00,375
2018/01/11,5:00,367
2018/01/11,6:00,393
2018/01/11,7:00,418
2018/01/11,8:00,459
2018/01/11,9:00,465
2018/01/11,10:00,460
2018/01/11,11:00,452
2018/01/11,12:00,427
2018/01/11,13:00,438
2018/01/11,14:00,440
2018/01/11,15:00,442
2018/01/11,16:00,463
2018/01/11,17:00,484
2018/01/11,18:00,492
2018/01/11,19:00,477
2018/01/11,20:00,459
2018/01/11,21:00,430
2018/01/11,22:00,393
2018/01/11,23:00,384
2018/01/12,0:00,375
2018/01/12,1:00,379
2018/01/12,2:00,388
2018/01/12,3:00,388
2018/01/12,4:00,383
2018/01/12,5:00,382
2018/01/12,6:00,410
2018/01/12,7:00,434
2018/01/12,8:00,470
2018/01/12,9:00,468
2018/01/12,10:00,454
2018/01/12,11:00,449
2018/01/12,12:00,425
2018/01/12,13:00,435
2018/01/12,14:00,427
2018/01/12,15:00,429
2018/01/12,16:00,452
2018/01/12,17:00,474
2018/01/12,18:00,485
2018/01/12,19:00,470
2018/01/12,20:00,452
2018/01/12,21:00,427
2018/01/12,22:00,393
2018/01/12,23:00,388
2018/01/13,0:00,379
2018/01/13,1:00,381
2018/01/13,2:00,388
2018/01/13,3:00,387
2018/01/13,4:00,377
2018/01/13,5:00,364
2018/01/13,6:00,369
2018/01/13,7:00,390
2018/01/13,8:00,428
2018/01/13,9:00,428
2018/01/13,10:00,412
2018/01/13,11:00,400
2018/01/13,12:00,383
2018/01/13,13:00,386
2018/01/13,14:00,383
2018/01/13,15:00,383
2018/01/13,16:00,402
2018/01/13,17:00,425
2018/01/13,18:00,434
2018/01/13,19:00,423
2018/01/13,20:00,409
2018/01/13,21:00,387
2018/01/13,22:00,361
2018/01/13,23:00,357
2018/01/14,0:00,356
2018/01/14,1:00,362
2018/01/14,2:00,374
2018/01/14,3:00,373
2018/01/14,4:00,363
2018/01/14,5:00,344
2018/01/14,6:00,329
2018/01/14,7:00,338
2018/01/14,8:00,366
2018/01/14,9:00,364
2018/01/14,10:00,353
2018/01/14,11:00,334
2018/01/14,12:00,323
2018/01/14,13:00,320
