ダウンロードした時刻：2022/05/27 22:26:53

,高松,高松,高松,高松,高松,高松,高松,高松,高松,高松,高松,高松,高松
年月日時,気温(℃),気温(℃),気温(℃),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日射量(MJ/㎡),日射量(MJ/㎡),日射量(MJ/㎡),相対湿度(％),相対湿度(％),相対湿度(％)
,,品質情報,均質番号,,現象なし情報,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号
2020/10/1 1:00:00,18.7,8,1,0,1,8,1,0,8,1,93,8,1
2020/10/1 2:00:00,18.6,8,1,0,1,8,1,0,8,1,94,8,1
2020/10/1 3:00:00,18.4,8,1,0,1,8,1,0,8,1,92,8,1
2020/10/1 4:00:00,18.5,8,1,0,1,8,1,0,8,1,90,8,1
2020/10/1 5:00:00,18.5,8,1,0,1,8,1,0,8,1,91,8,1
2020/10/1 6:00:00,18.6,8,1,0.0,0,8,1,0.00,8,1,93,8,1
2020/10/1 7:00:00,18.9,8,1,0.1,0,8,1,0.12,8,1,92,8,1
2020/10/1 8:00:00,21.0,8,1,0.9,0,8,1,0.97,8,1,84,8,1
2020/10/1 9:00:00,22.1,8,1,0.6,0,8,1,1.46,8,1,72,8,1
2020/10/1 10:00:00,23.1,8,1,0.5,0,8,1,1.90,8,1,63,8,1
2020/10/1 11:00:00,23.2,8,1,0.9,0,8,1,2.39,8,1,64,8,1
2020/10/1 12:00:00,24.9,8,1,1.0,0,8,1,2.85,8,1,54,8,1
2020/10/1 13:00:00,25.7,8,1,1.0,0,8,1,2.83,8,1,52,8,1
2020/10/1 14:00:00,25.0,8,1,0.9,0,8,1,2.48,8,1,50,8,1
2020/10/1 15:00:00,26.0,8,1,0.9,0,8,1,1.85,8,1,49,8,1
2020/10/1 16:00:00,25.9,8,1,1.0,0,8,1,1.45,8,1,47,8,1
2020/10/1 17:00:00,25.4,8,1,0.6,0,8,1,0.60,8,1,49,8,1
2020/10/1 18:00:00,24.3,8,1,0.4,0,8,1,0.11,8,1,55,8,1
2020/10/1 19:00:00,24.4,8,1,0,1,8,1,0.00,8,1,47,8,1
2020/10/1 20:00:00,23.4,8,1,0,1,8,1,0,8,1,52,8,1
2020/10/1 21:00:00,21.9,8,1,0,1,8,1,0,8,1,65,8,1
2020/10/1 22:00:00,20.2,8,1,0,1,8,1,0,8,1,78,8,1
2020/10/1 23:00:00,19.6,8,1,0,1,8,1,0,8,1,80,8,1
2020/10/2 00:00:00,18.8,8,1,0,1,8,1,0,8,1,81,8,1
2020/10/2 1:00:00,18.1,8,1,0,1,8,1,0,8,1,83,8,1
2020/10/2 2:00:00,18.1,8,1,0,1,8,1,0,8,1,84,8,1
2020/10/2 3:00:00,17.5,8,1,0,1,8,1,0,8,1,87,8,1
2020/10/2 4:00:00,17.0,8,1,0,1,8,1,0,8,1,88,8,1
2020/10/2 5:00:00,16.8,8,1,0,1,8,1,0,8,1,88,8,1
2020/10/2 6:00:00,16.6,8,1,0.0,0,8,1,0.00,8,1,90,8,1
2020/10/2 7:00:00,17.2,8,1,0.4,0,8,1,0.17,8,1,87,8,1
2020/10/2 8:00:00,19.7,8,1,0.8,0,8,1,0.80,8,1,78,8,1
2020/10/2 9:00:00,22.7,8,1,1.0,0,8,1,1.55,8,1,73,8,1
2020/10/2 10:00:00,23.6,8,1,1.0,0,8,1,2.17,8,1,67,8,1
2020/10/2 11:00:00,24.9,8,1,1.0,0,8,1,2.50,8,1,62,8,1
2020/10/2 12:00:00,25.9,8,1,1.0,0,8,1,2.78,8,1,54,8,1
2020/10/2 13:00:00,26.1,8,1,0.9,0,8,1,2.62,8,1,56,8,1
2020/10/2 14:00:00,26.2,8,1,1.0,0,8,1,2.55,8,1,56,8,1
2020/10/2 15:00:00,26.8,8,1,1.0,0,8,1,2.10,8,1,55,8,1
2020/10/2 16:00:00,25.8,8,1,1.0,0,8,1,1.38,8,1,53,8,1
2020/10/2 17:00:00,25.7,8,1,1.0,0,8,1,0.68,8,1,56,8,1
2020/10/2 18:00:00,24.7,8,1,0.4,0,8,1,0.11,8,1,61,8,1
2020/10/2 19:00:00,23.6,8,1,0,1,8,1,0.00,8,1,70,8,1
2020/10/2 20:00:00,22.6,8,1,0,1,8,1,0,8,1,76,8,1
2020/10/2 21:00:00,21.9,8,1,0,1,8,1,0,8,1,78,8,1
2020/10/2 22:00:00,20.9,8,1,0,1,8,1,0,8,1,79,8,1
2020/10/2 23:00:00,20.9,8,1,0,1,8,1,0,8,1,79,8,1
2020/10/3 00:00:00,20.3,8,1,0,1,8,1,0,8,1,79,8,1
2020/10/3 1:00:00,20.0,8,1,0,1,8,1,0,8,1,80,8,1
2020/10/3 2:00:00,19.8,8,1,0,1,8,1,0,8,1,80,8,1
2020/10/3 3:00:00,19.7,8,1,0,1,8,1,0,8,1,80,8,1
2020/10/3 4:00:00,19.4,8,1,0,1,8,1,0,8,1,82,8,1
2020/10/3 5:00:00,19.0,8,1,0,1,8,1,0,8,1,84,8,1
2020/10/3 6:00:00,18.5,8,1,0.0,0,8,1,0.00,8,1,87,8,1
2020/10/3 7:00:00,19.6,8,1,0.1,0,8,1,0.14,8,1,83,8,1
2020/10/3 8:00:00,21.0,8,1,0.2,0,8,1,0.52,8,1,78,8,1
2020/10/3 9:00:00,23.7,8,1,1.0,0,8,1,1.71,8,1,73,8,1
2020/10/3 10:00:00,24.0,8,1,0.7,0,8,1,1.78,8,1,70,8,1
2020/10/3 11:00:00,24.8,8,1,0.0,0,8,1,1.29,8,1,66,8,1
2020/10/3 12:00:00,25.4,8,1,0.4,0,8,1,1.73,8,1,60,8,1
